,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
3 + 3,"3.71
(17.97)","21.61
(40.60)","27.87
(44.17)","37.49
(47.68)","9.28
(28.47)","0.04
(0.13)","3.71
(17.97)","21.61
(40.60)","27.87
(44.17)","37.49
(47.68)","9.28
(28.47)","0.04
(0.13)"
CRM,"0.00
(0.03)","0.04
(0.15)","0.62
(0.51)","13.64
(19.17)","85.63
(19.30)","0.07
(0.42)","0.00
(0.03)","0.04
(0.15)","0.62
(0.51)","13.64
(19.17)","85.63
(19.30)","0.07
(0.42)"
UCB,"23.68
(28.96)","24.75
(28.97)","23.52
(28.03)","25.44
(29.27)","1.97
(4.47)","0.65
(0.97)","16.67
(1.80)","16.72
(1.75)","16.54
(1.78)","16.73
(1.80)","16.72
(1.83)","16.62
(1.82)"
SEEDA,"24.43
(28.94)","24.44
(28.98)","26.49
(30.00)","24.63
(28.92)","0.00
(0.00)","0.00
(0.00)","24.66
(8.28)","24.67
(8.04)","25.30
(8.13)","24.71
(7.90)","0.33
(0.00)","0.33
(0.00)"
Reference,"0.58
(0.73)","0.72
(1.20)","96.08
(8.28)","2.62
(8.20)","0.00
(0.00)","0.00
(0.00)","11.83
(13.82)","12.77
(13.60)","13.01
(13.38)","61.72
(35.27)","0.33
(0.00)","0.33
(0.00)"
Anchored,"74.80
(32.70)","11.82
(21.25)","7.32
(16.53)","6.05
(16.48)","0.01
(0.11)","0.00
(0.00)","24.53
(20.00)","28.79
(12.77)","25.97
(13.18)","20.01
(18.76)","0.37
(0.38)","0.33
(0.00)"
Descending,"94.54
(10.83)","1.78
(7.12)","1.75
(6.89)","1.94
(4.67)","0.00
(0.00)","0.00
(0.00)","22.34
(18.92)","26.87
(12.88)","27.30
(12.29)","22.82
(19.18)","0.33
(0.00)","0.33
(0.00)"
