,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
3 + 3,"4.15
(17.22)","22.30
(39.93)","24.50
(40.96)","38.92
(46.51)","10.02
(28.32)","0.12
(0.39)","4.15
(17.22)","22.30
(39.93)","24.50
(40.96)","38.92
(46.51)","10.02
(28.32)","0.12
(0.39)"
CRM,"0.00
(0.04)","0.09
(0.37)","1.81
(1.33)","25.76
(27.60)","72.15
(27.89)","0.20
(1.19)","0.00
(0.04)","0.09
(0.37)","1.81
(1.33)","25.76
(27.60)","72.15
(27.89)","0.20
(1.19)"
UCB,"21.63
(27.43)","22.62
(27.72)","23.54
(28.14)","24.97
(28.42)","5.40
(10.29)","1.85
(2.48)","16.67
(1.99)","16.71
(1.97)","16.71
(1.97)","16.69
(2.03)","16.66
(1.96)","16.56
(1.94)"
SEEDA,"24.18
(27.40)","24.62
(29.09)","26.58
(29.60)","24.62
(27.60)","0.00
(0.00)","0.00
(0.00)","24.60
(8.68)","24.45
(8.79)","24.79
(8.82)","24.16
(8.35)","1.00
(0.00)","1.00
(0.00)"
Reference,"1.76
(2.45)","2.36
(4.14)","90.28
(12.19)","5.60
(11.14)","0.00
(0.00)","0.00
(0.00)","14.43
(14.27)","15.49
(13.19)","16.02
(13.08)","52.05
(32.31)","1.00
(0.00)","1.00
(0.00)"
Anchored,"72.21
(30.79)","13.72
(19.97)","8.23
(17.90)","5.82
(15.16)","0.03
(0.72)","0.00
(0.00)","25.18
(18.74)","28.98
(12.24)","25.44
(12.95)","18.31
(16.99)","1.10
(1.06)","1.00
(0.00)"
Descending,"89.31
(14.81)","2.79
(8.20)","3.16
(9.33)","4.75
(8.69)","0.00
(0.00)","0.00
(0.00)","22.99
(18.73)","26.59
(12.43)","26.10
(12.18)","22.31
(18.74)","1.00
(0.00)","1.00
(0.00)"
