,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.1,0.35,0.6,0.6,0.6,0.6,0.1,0.35,0.6,0.6,0.6,0.6
3 + 3,"10.25
(28.46)","32.18
(45.01)","31.06
(44.25)","23.66
(40.74)","2.82
(15.27)","0.03
(0.16)","10.25
(28.46)","32.18
(45.01)","31.06
(44.25)","23.66
(40.74)","2.82
(15.27)","0.03
(0.16)"
CRM,"0.02
(0.16)","0.26
(0.73)","3.08
(3.18)","89.58
(8.65)","7.05
(9.15)","0.01
(0.11)","0.02
(0.16)","0.26
(0.73)","3.08
(3.18)","89.58
(8.65)","7.05
(9.15)","0.01
(0.11)"
UCB,"1.03
(0.36)","3.04
(6.54)","48.79
(32.46)","43.52
(32.60)","2.35
(3.50)","1.27
(1.15)","8.87
(0.78)","12.56
(1.58)","19.61
(2.15)","19.57
(2.14)","19.66
(2.20)","19.73
(2.15)"
SEEDA,"2.36
(2.50)","4.08
(5.30)","48.31
(32.39)","45.25
(32.25)","0.00
(0.00)","0.00
(0.00)","4.34
(1.18)","9.65
(3.71)","42.43
(12.15)","41.58
(12.01)","1.00
(0.00)","1.00
(0.00)"
Reference,"4.06
(5.12)","5.45
(8.51)","85.72
(13.57)","4.76
(9.00)","0.00
(0.00)","0.00
(0.00)","2.75
(1.77)","6.43
(4.87)","25.00
(19.37)","63.83
(23.47)","1.00
(0.00)","1.00
(0.00)"
Anchored,"10.51
(9.98)","24.80
(23.83)","56.89
(26.88)","7.78
(17.37)","0.02
(0.30)","0.00
(0.00)","4.31
(3.44)","14.86
(15.68)","47.55
(19.30)","31.22
(20.41)","1.05
(0.47)","1.00
(0.00)"
Descending,"64.68
(30.71)","2.78
(10.15)","27.63
(29.96)","4.91
(7.94)","0.00
(0.00)","0.00
(0.00)","2.08
(1.65)","8.78
(4.48)","43.52
(12.03)","43.63
(13.37)","1.00
(0.00)","1.00
(0.00)"
