,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.15,0.2,0.45,0.6,0.01,0.05,0.15,0.2,0.45,0.6
Efficacy prob,0.1,0.6,0.6,0.6,0.6,0.6,0.1,0.6,0.6,0.6,0.6,0.6
3 + 3,"3.32
(16.92)","22.40
(41.13)","25.12
(42.69)","40.04
(48.25)","9.09
(28.18)","0.04
(0.13)","3.32
(16.92)","22.40
(41.13)","25.12
(42.69)","40.04
(48.25)","9.09
(28.18)","0.04
(0.13)"
CRM,"0.00
(0.02)","0.03
(0.12)","0.62
(0.48)","14.04
(19.50)","85.27
(19.60)","0.04
(0.29)","0.00
(0.02)","0.03
(0.12)","0.62
(0.48)","14.04
(19.50)","85.27
(19.60)","0.04
(0.29)"
UCB,"0.34
(0.07)","30.14
(31.02)","33.15
(32.53)","33.43
(32.04)","2.26
(4.45)","0.69
(1.00)","6.04
(0.45)","18.80
(1.99)","18.82
(2.04)","18.82
(1.95)","18.78
(1.95)","18.76
(1.99)"
SEEDA,"0.53
(0.46)","32.11
(31.99)","34.26
(32.91)","33.10
(32.22)","0.00
(0.00)","0.00
(0.00)","1.94
(0.43)","32.40
(10.18)","32.69
(10.16)","32.30
(10.17)","0.33
(0.00)","0.33
(0.00)"
Reference,"0.50
(0.56)","0.72
(1.15)","95.80
(10.10)","2.97
(10.07)","0.00
(0.00)","0.00
(0.00)","1.04
(0.77)","14.99
(17.48)","15.94
(17.07)","67.36
(32.82)","0.33
(0.00)","0.33
(0.00)"
Anchored,"7.87
(17.70)","72.42
(30.86)","11.94
(20.82)","7.77
(17.74)","0.01
(0.13)","0.00
(0.00)","1.46
(0.65)","31.78
(19.49)","36.92
(8.89)","29.11
(19.18)","0.39
(0.50)","0.33
(0.00)"
Descending,"33.95
(35.62)","61.77
(37.21)","2.02
(8.07)","2.25
(5.00)","0.00
(0.00)","0.00
(0.00)","1.46
(0.73)","31.20
(18.11)","36.59
(7.73)","30.08
(18.13)","0.33
(0.00)","0.33
(0.00)"
