,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Allocated,Allocated,Allocated,Allocated,Allocated,Allocated
,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6,Dose 1,Dose 2,Dose 3,Dose 4,Dose 5,Dose 6
Toxicity prob,0.01,0.05,0.1,0.15,0.25,0.6,0.01,0.05,0.1,0.15,0.25,0.6
Efficacy prob,0.1,0.2,0.35,0.6,0.6,0.6,0.1,0.2,0.35,0.6,0.6,0.6
3 + 3,"5.02
(19.31)","13.94
(32.72)","22.41
(39.72)","29.46
(43.40)","28.81
(43.05)","0.37
(0.63)","5.02
(19.31)","13.94
(32.72)","22.41
(39.72)","29.46
(43.40)","28.81
(43.05)","0.37
(0.63)"
CRM,"0.04
(0.20)","0.02
(0.18)","1.43
(0.81)","0.73
(1.69)","93.87
(8.78)","3.92
(8.93)","0.04
(0.20)","0.02
(0.18)","1.43
(0.81)","0.73
(1.69)","93.87
(8.78)","3.92
(8.93)"
UCB,"1.02
(0.30)","1.17
(1.42)","2.34
(4.66)","46.46
(32.26)","46.68
(32.06)","2.33
(3.08)","9.56
(0.82)","10.95
(1.13)","13.77
(1.67)","21.85
(2.45)","22.11
(2.32)","21.77
(2.46)"
SEEDA,"1.78
(1.66)","1.81
(1.86)","2.51
(4.29)","48.42
(32.35)","45.47
(32.10)","0.00
(0.00)","4.20
(1.05)","5.55
(1.74)","9.27
(3.44)","39.92
(12.06)","40.06
(11.92)","1.00
(0.00)"
Reference,"1.43
(1.69)","1.50
(2.11)","5.16
(8.62)","87.49
(13.31)","4.42
(9.88)","0.00
(0.00)","1.51
(1.01)","1.81
(1.55)","4.91
(4.18)","23.16
(20.06)","67.61
(23.52)","1.00
(0.00)"
Anchored,"9.71
(7.50)","7.46
(9.06)","12.32
(17.97)","60.60
(25.69)","9.91
(19.62)","0.00
(0.00)","3.12
(2.19)","3.82
(2.54)","9.19
(4.58)","48.11
(17.36)","34.76
(19.66)","1.00
(0.00)"
Descending,"67.05
(30.31)","0.98
(0.19)","1.38
(3.79)","25.78
(30.08)","4.81
(9.50)","0.00
(0.00)","1.40
(0.99)","1.84
(1.50)","8.17
(3.99)","43.63
(12.29)","43.96
(13.88)","1.00
(0.00)"
